"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 14:53:33 MSK 2023","Tue Nov 14 14:53:41 MSK 2023","7268","","PersonalAccountTest","","PersonalAccountTest","shiftToBurgerConstructorTest","Going from profile to Burger constructor","Successful shift to Burger constructor from Profile test"
"passed","Tue Nov 14 14:53:16 MSK 2023","Tue Nov 14 14:53:20 MSK 2023","4133","","BurgerConstructorTest","","BurgerConstructorTest","goingToSaucesSectionTest","Sauces section","Going to SAUSES section test"
"passed","Tue Nov 14 14:54:09 MSK 2023","Tue Nov 14 14:54:15 MSK 2023","6221","","SignInTest","","SignInTest","loginFromRegistrationPageTest","Sign in from registration page","Check sign in from registration page test"
"passed","Tue Nov 14 14:53:57 MSK 2023","Tue Nov 14 14:54:03 MSK 2023","5933","","SignInTest","","SignInTest","loginButtonLoginTest","Sign in from main page","Check sign in from main page test"
"passed","Tue Nov 14 14:53:11 MSK 2023","Tue Nov 14 14:53:16 MSK 2023","4543","","BurgerConstructorTest","","BurgerConstructorTest","goingToBunSectionTest","Bun section","Going to BUN section test"
"passed","Tue Nov 14 14:54:15 MSK 2023","Tue Nov 14 14:54:21 MSK 2023","6157","","SignInTest","","SignInTest","loginFromPasswordResetPageTest","Sign in from reset password page","Check sign in from reset password page test"
"passed","Tue Nov 14 14:54:03 MSK 2023","Tue Nov 14 14:54:09 MSK 2023","5890","","SignInTest","","SignInTest","loginPersonalAccountTest","Sing in from Personal Account page","Check sing in from Personal Account page test"
"passed","Tue Nov 14 14:53:47 MSK 2023","Tue Nov 14 14:53:52 MSK 2023","4782","","RegistrationTest","","RegistrationTest","invalidPasswordRegistrationTest","Invalid Password registration","Registration with invalid Password test"
"passed","Tue Nov 14 14:53:20 MSK 2023","Tue Nov 14 14:53:33 MSK 2023","13694","","PersonalAccountTest","","PersonalAccountTest","logoutProfileTest","Logout from Profile","Successful logout profile test"
"passed","Tue Nov 14 14:53:41 MSK 2023","Tue Nov 14 14:53:47 MSK 2023","6208","","PersonalAccountTest","","PersonalAccountTest","personalAccountLoginTest","Going to account profile","Successful account profile login test"
"passed","Tue Nov 14 14:53:01 MSK 2023","Tue Nov 14 14:53:11 MSK 2023","10232","","BurgerConstructorTest","","BurgerConstructorTest","goingToFillingSectionTest","Filling section","Going to FILLING section test"
"passed","Tue Nov 14 14:53:52 MSK 2023","Tue Nov 14 14:53:57 MSK 2023","5415","","RegistrationTest","","RegistrationTest","newUserRegistrationTest","Successful registration new user","Successful registration test"
